t,n,phi,convergence,"bias.mean Cov[1,1]","bias.mean Cov[2,1]","bias.mean Cov[3,1]","bias.mean Cov[1,2]","bias.mean Cov[2,2]","bias.mean Cov[3,2]","bias.mean Cov[1,3]","bias.mean Cov[2,3]","bias.mean Cov[3,3]",bias.mean R,bias.mean mu.D,bias.mean mu.M,bias.mean phi,bias.mean sigma2,"bias.median Cov[1,1]","bias.median Cov[2,1]","bias.median Cov[3,1]","bias.median Cov[1,2]","bias.median Cov[2,2]","bias.median Cov[3,2]","bias.median Cov[1,3]","bias.median Cov[2,3]","bias.median Cov[3,3]",bias.median R,bias.median mu.D,bias.median mu.M,bias.median phi,bias.median sigma2,"bias.mode Cov[1,1]","bias.mode Cov[2,1]","bias.mode Cov[3,1]","bias.mode Cov[1,2]","bias.mode Cov[2,2]","bias.mode Cov[3,2]","bias.mode Cov[1,3]","bias.mode Cov[2,3]","bias.mode Cov[3,3]",bias.mode R,bias.mode mu.D,bias.mode mu.M,bias.mode phi,bias.mode sigma2,"cover.qbp Cov[1,1]","cover.qbp Cov[2,1]","cover.qbp Cov[3,1]","cover.qbp Cov[1,2]","cover.qbp Cov[2,2]","cover.qbp Cov[3,2]","cover.qbp Cov[1,3]","cover.qbp Cov[2,3]","cover.qbp Cov[3,3]",cover.qbp R,cover.qbp mu.D,cover.qbp mu.M,cover.qbp phi,cover.qbp sigma2," cover.hpd Cov[1,1]"," cover.hpd Cov[2,1]"," cover.hpd Cov[3,1]"," cover.hpd Cov[1,2]"," cover.hpd Cov[2,2]"," cover.hpd Cov[3,2]"," cover.hpd Cov[1,3]"," cover.hpd Cov[2,3]"," cover.hpd Cov[3,3]", cover.hpd R, cover.hpd mu.D, cover.hpd mu.M, cover.hpd phi, cover.hpd sigma2,ci.R,ci.mu.M,ci.phi
17,100,0.24,1,0.027852972,0.763691411,-0.140828477,0.763691411,1.291422662,-0.14189439,-0.140828477,-0.14189439,0.216630627,0.007715179,0.000649204,-0.001520642,-0.025923003,-0.012211392,0.014156483,0.715393005,-0.159306824,0.715393005,1.243587441,-0.163999857,-0.159306824,-0.163999857,0.190881137,0.007776678,0.000893592,-0.001612903,-0.025902171,-0.012952549,-0.010145587,0.608271697,-0.191263051,0.608271697,1.154213428,-0.206530196,-0.191263051,-0.206530196,0.1431491,0.007674177,0.008367232,-0.001936416,-0.026635228,-0.013972023,0.965306122,0.975510204,0.964285714,0.975510204,0,0.986734694,0.964285714,0.986734694,0.919387755,0.876530612,0.959183673,0.273469388,0.802040816,0.936734694,0.984693878,0.989795918,0.985714286,0.989795918,0.017346939,0.996938776,0.985714286,0.996938776,0.986734694,0.919387755,0.97755102,0.307142857,0.859183673,0.96122449,0.962244898,0.955102041,0.957142857
33,100,0.24,1,0.027317175,0.594404719,-0.101661539,0.594404719,0.997431201,-0.044953805,-0.101661539,-0.044953805,0.100656317,0.003213026,0.003124528,0.000953454,-0.017746298,-0.005008361,0.013658474,0.557351751,-0.120267225,0.557351751,0.961147915,-0.065205846,-0.120267225,-0.065205846,0.081560296,0.003198168,0.003056811,0.000960088,-0.017557998,-0.005448013,-0.010547751,0.479186272,-0.152040899,0.479186272,0.894601068,-0.100126385,-0.152040899,-0.100126385,0.04514169,0.003070573,-0.003325615,0.000750484,-0.016273322,-0.006115113,0.95959596,0.977777778,0.971717172,0.977777778,0.009090909,0.990909091,0.971717172,0.990909091,0.960606061,0.807070707,0.95959596,0.193939394,0.726262626,0.933333333,0.984848485,0.992929293,0.987878788,0.992929293,0.049494949,0.996969697,0.987878788,0.996969697,0.988888889,0.858585859,0.983838384,0.225252525,0.783838384,0.967676768,0.968686869,0.955555556,0.965656566
65,100,0.24,1,0.026567511,0.717512815,-0.083498954,0.717512815,0.834750863,0.041534171,-0.083498954,0.041534171,0.04392865,0.000202217,0.000908055,-0.000927115,-0.008742522,-0.002089313,0.01315829,0.679362665,-0.102514866,0.679362665,0.805104738,0.020888395,-0.102514866,0.020888395,0.027787648,0.000199516,0.001133619,-0.000910633,-0.008724604,-0.002331272,-0.008651109,0.610124166,-0.132752067,0.610124166,0.75147991,-0.016353584,-0.132752067,-0.016353584,-0.003303259,8.26E-05,-0.002416825,-0.001268631,-0.00858303,-0.003063118,0.95959596,0.972727273,0.968686869,0.972727273,0.015151515,0.992929293,0.968686869,0.992929293,0.973737374,0.715151515,0.961616162,0.13030303,0.614141414,0.954545455,0.980808081,0.990909091,0.985858586,0.990909091,0.063636364,1,0.985858586,1,0.990909091,0.766666667,0.978787879,0.150505051,0.664646465,0.973737374,0.96969697,0.957575758,0.95959596
17,200,0.24,1,0.015005243,0.950344945,-0.114885698,0.950344945,0.909474391,-0.079001223,-0.114885698,-0.079001223,0.053687098,0.004696784,0.00033219,0.001820572,-0.020796569,-0.009646127,0.008460554,0.927256991,-0.12324139,0.927256991,0.886066702,-0.089391263,-0.12324139,-0.089391263,0.042010319,0.004706893,0.001138981,0.001809559,-0.02072487,-0.010002258,-0.005088422,0.88493001,-0.136550215,0.88493001,0.840129383,-0.108678017,-0.136550215,-0.108678017,0.019360947,0.004626614,0.005090481,0.002047606,-0.020859596,-0.01052745,0.961616162,0.945454545,0.955555556,0.945454545,0.004040404,0.976767677,0.955555556,0.976767677,0.965656566,0.882828283,0.957575758,0.296969697,0.814141414,0.932323232,0.984848485,0.977777778,0.981818182,0.977777778,0.03030303,0.98989899,0.981818182,0.98989899,0.98989899,0.92020202,0.978787879,0.332323232,0.874747475,0.967676768,0.964646465,0.956565657,0.957575758
33,200,0.24,1,0.014865517,0.795781793,-0.121005511,0.795781793,0.709271162,0.015464392,-0.121005511,0.015464392,-0.020220545,0.002471299,0.001088429,0.002406429,-0.012932156,-0.003928187,0.008265337,0.771679189,-0.129309155,0.771679189,0.692776645,0.004684679,-0.129309155,0.004684679,-0.029064554,0.002459487,0.002066163,0.002285482,-0.012936678,-0.00415262,-0.007092555,0.717790091,-0.142805301,0.717790091,0.660951047,-0.015749181,-0.142805301,-0.015749181,-0.045688674,0.002330452,0.01431488,0.001231572,-0.012334378,-0.004814681,0.95,0.948,0.949,0.948,0.015,0.982,0.949,0.982,0.959,0.823,0.959,0.206,0.703,0.943,0.98,0.981,0.976,0.981,0.062,0.992,0.976,0.992,0.973,0.884,0.973,0.239,0.769,0.964,0.968,0.956,0.95
65,200,0.24,1,0.014217537,0.782245408,-0.106116971,0.782245408,0.601046771,0.078496027,-0.106116971,0.078496027,-0.0603135,0.00079499,0.00116102,0.002622682,-0.007193104,-0.00140792,0.007305133,0.758140476,-0.114938539,0.758140476,0.587389943,0.068266039,-0.114938539,0.068266039,-0.068088201,0.000821491,0.002179202,0.002556601,-0.006946857,-0.001495797,-0.010692163,0.714316604,-0.127886099,0.714316604,0.560817371,0.049565258,-0.127886099,0.049565258,-0.084020213,0.000913906,0.020083143,0.001372684,-0.005875392,-0.002182269,0.955,0.94,0.953,0.94,0.024,0.965,0.953,0.965,0.92,0.739,0.956,0.151,0.591,0.941,0.98,0.978,0.971,0.978,0.066,0.987,0.971,0.987,0.935,0.788,0.973,0.183,0.649,0.972,0.957,0.953,0.959
17,500,0.24,1,0.005303837,0.771516431,-0.120854423,0.771516431,0.613391337,-0.002457523,-0.120854423,-0.002457523,-0.0667976,0.002499009,0.002688137,0.003474404,-0.017583763,-0.006256349,0.002447804,0.761745515,-0.125083696,0.761745515,0.604918268,-0.006472633,-0.125083696,-0.006472633,-0.071797953,0.00250436,0.002845969,0.003487475,-0.017538679,-0.006425439,-0.003060771,0.743999296,-0.132306976,0.743999296,0.588903698,-0.014889508,-0.132306976,-0.014889508,-0.081517849,0.002481982,-0.000286791,0.003864035,-0.017490091,-0.006492463,0.951515152,0.91010101,0.939393939,0.91010101,0.015151515,0.975757576,0.939393939,0.975757576,0.916161616,0.866666667,0.958585859,0.306060606,0.794949495,0.938383838,0.982828283,0.951515152,0.960606061,0.951515152,0.033333333,0.986868687,0.960606061,0.986868687,0.947474747,0.909090909,0.974747475,0.342424242,0.853535354,0.958585859,0.955555556,0.954545455,0.941414141
33,500,0.24,1,0.005676947,0.791727446,-0.109533583,0.791727446,0.489572946,0.075217771,-0.109533583,0.075217771,-0.111822796,0.00070754,0.002509711,0.002942897,-0.011511403,-0.002286034,0.0030042,0.781776461,-0.113816147,0.781776461,0.483696066,0.071312183,-0.113816147,0.071312183,-0.115358297,0.000680534,0.002460805,0.002982536,-0.011548729,-0.002378805,-0.001964295,0.753375232,-0.123510626,0.753375232,0.471702361,0.063772894,-0.123510626,0.063772894,-0.122054556,0.000632137,-0.001727344,0.003721859,-0.0119142,-0.002330635,0.945,0.901,0.945,0.901,0.019,0.952,0.945,0.952,0.718,0.81,0.956,0.222,0.691,0.931,0.972,0.946,0.967,0.946,0.044,0.979,0.967,0.979,0.79,0.858,0.978,0.254,0.748,0.95,0.953,0.955,0.95
65,500,0.24,1,0.005845803,0.803551714,-0.119107307,0.803551714,0.425221331,0.111861507,-0.119107307,0.111861507,-0.129204427,0.000384782,0.002874111,0.003223824,-0.007415916,-0.000902918,0.003228098,0.793717342,-0.12336454,0.793717342,0.420585929,0.107742887,-0.12336454,0.107742887,-0.132006298,0.00034952,0.002881124,0.003267468,-0.007358773,-0.000935269,-0.000912767,0.766754701,-0.133228326,0.766754701,0.410969858,0.09955011,-0.133228326,0.09955011,-0.136805124,0.000175399,0.000336168,0.003851138,-0.007246457,-0.000638869,0.946,0.864,0.936,0.864,0.008,0.915,0.936,0.915,0.537,0.732,0.953,0.167,0.565,0.939,0.975,0.92,0.969,0.92,0.016,0.964,0.969,0.964,0.615,0.8,0.979,0.185,0.619,0.972,0.954,0.953,0.936
17,1000,0.24,1,0.00292696,0.803305847,-0.117071798,0.803305847,0.478539865,0.054255726,-0.117071798,0.054255726,-0.115862541,0.000774926,0.003916385,0.003391913,-0.019164505,-0.004171682,0.001670806,0.79699761,-0.119692734,0.79699761,0.474252121,0.051791831,-0.119692734,0.051791831,-0.117999496,0.000755277,0.003251866,0.003378801,-0.019208102,-0.004268474,-0.000981765,0.786118657,-0.125577956,0.786118657,0.465481344,0.046838284,-0.125577956,0.046838284,-0.122424496,0.000683278,-0.002027445,0.003448489,-0.019222294,-0.004247063,0.943,0.849,0.932,0.849,0.004,0.959,0.932,0.959,0.638,0.882,0.946,0.268,0.801,0.928,0.972,0.915,0.964,0.915,0.031,0.98,0.964,0.98,0.738,0.921,0.979,0.303,0.842,0.955,0.958,0.95,0.928
