t,n,phi,convergence,true.R,true.mu.M,true.phi,"bias.mean Cov[1,1]","bias.mean Cov[2,1]","bias.mean Cov[3,1]","bias.mean Cov[1,2]","bias.mean Cov[2,2]","bias.mean Cov[3,2]","bias.mean Cov[1,3]","bias.mean Cov[2,3]","bias.mean Cov[3,3]",bias.mean R,bias.mean mu.D,bias.mean mu.M,bias.mean phi,bias.mean sigma2,"bias.median Cov[1,1]","bias.median Cov[2,1]","bias.median Cov[3,1]","bias.median Cov[1,2]","bias.median Cov[2,2]","bias.median Cov[3,2]","bias.median Cov[1,3]","bias.median Cov[2,3]","bias.median Cov[3,3]",bias.median R,bias.median mu.D,bias.median mu.M,bias.median phi,bias.median sigma2,"bias.mode Cov[1,1]","bias.mode Cov[2,1]","bias.mode Cov[3,1]","bias.mode Cov[1,2]","bias.mode Cov[2,2]","bias.mode Cov[3,2]","bias.mode Cov[1,3]","bias.mode Cov[2,3]","bias.mode Cov[3,3]",bias.mode R,bias.mode mu.D,bias.mode mu.M,bias.mode phi,bias.mode sigma2,"cover.qbp Cov[1,1]","cover.qbp Cov[2,1]","cover.qbp Cov[3,1]","cover.qbp Cov[1,2]","cover.qbp Cov[2,2]","cover.qbp Cov[3,2]","cover.qbp Cov[1,3]","cover.qbp Cov[2,3]","cover.qbp Cov[3,3]",cover.qbp R,cover.qbp mu.D,cover.qbp mu.M,cover.qbp phi,cover.qbp sigma2," cover.hpd Cov[1,1]"," cover.hpd Cov[2,1]"," cover.hpd Cov[3,1]"," cover.hpd Cov[1,2]"," cover.hpd Cov[2,2]"," cover.hpd Cov[3,2]"," cover.hpd Cov[1,3]"," cover.hpd Cov[2,3]"," cover.hpd Cov[3,3]", cover.hpd R, cover.hpd mu.D, cover.hpd mu.M, cover.hpd phi, cover.hpd sigma2,ci.R,ci.mu.M,ci.phi
17,100,0.24,1,1.021316518,-0.400083003,0.221463728,0.024672636,0.188500466,0.051037784,0.188500466,0.544577238,-0.234858585,0.051037784,-0.234858585,0.575774186,0.010334639,0.012692404,0.010741426,0.025867746,-0.008128141,0.010381023,0.145799239,0.036928369,0.145799239,0.512739364,-0.25407104,0.036928369,-0.25407104,0.541975981,0.010454012,0.012926294,0.010633308,0.025583342,-0.008915855,-0.015692109,0.064118876,0.011904754,0.064118876,0.452261097,-0.286846714,0.011904754,-0.286846714,0.475853738,0.01056787,0.018779304,0.009941794,0.025530472,-0.010654306,0.957,0.977,0.97,0.977,0.508,0.987,0.97,0.987,0.472,0.799,0.962,0.258,0.854,0.948,0.984,0.992,0.994,0.992,0.751,0.996,0.994,0.996,0.743,0.865,0.98,0.292,0.91,0.969,0.964,0.96,0.967
33,100,0.24,1,1.021386852,-0.399942915,0.221340566,0.018864338,0.057500789,-0.079323077,0.057500789,0.387053433,-0.137990455,-0.079323077,-0.137990455,0.400305107,0.004939291,0.013452867,0.011496129,0.008080853,-0.003904088,0.005010571,0.023438792,-0.088237044,0.023438792,0.361854687,-0.157128613,-0.088237044,-0.157128613,0.375619632,0.004978947,0.013700897,0.011502127,0.007926318,-0.004353372,-0.02085602,-0.043288094,-0.086011299,-0.043288094,0.31482927,-0.19151468,-0.086011299,-0.19151468,0.327865045,0.005034756,0.019180916,0.011757564,0.008255673,-0.005101902,0.965656566,0.971717172,0.965656566,0.971717172,0.652525253,0.980808081,0.965656566,0.980808081,0.598989899,0.729292929,0.946464646,0.214141414,0.793939394,0.94040404,0.981818182,0.98989899,0.983838384,0.98989899,0.836363636,0.987878788,0.983838384,0.987878788,0.824242424,0.778787879,0.970707071,0.236363636,0.842424242,0.967676768,0.956565657,0.944444444,0.956565657
65,100,0.24,1,1.021388275,-0.400164533,0.221383328,0.020143537,0.204438935,0.003779418,0.204438935,0.297163113,-0.086036467,0.003779418,-0.086036467,0.309293058,0.003358434,0.000147251,-0.001452652,0.007999055,-0.000840569,0.006445362,0.168579397,-0.005065658,0.168579397,0.275903227,-0.104441058,-0.005065658,-0.104441058,0.288736126,0.003369769,0.000605447,-0.00145233,0.008020116,-0.00108491,-0.020062914,0.101914123,-0.010824689,0.101914123,0.239519739,-0.135511738,-0.010824689,-0.135511738,0.249168806,0.003202119,0.009840062,-0.001469384,0.008244515,-0.00182702,0.960606061,0.962626263,0.967676768,0.962626263,0.704040404,0.982828283,0.967676768,0.982828283,0.686868687,0.597979798,0.950505051,0.150505051,0.657575758,0.957575758,0.981818182,0.981818182,0.987878788,0.981818182,0.868686869,0.990909091,0.987878788,0.990909091,0.849494949,0.651515152,0.975757576,0.16969697,0.723232323,0.976767677,0.94040404,0.948484848,0.961616162
17,200,0.24,1,1.021316518,-0.400083003,0.221463728,0.011589411,0.130461781,0.048932781,0.130461781,0.308182279,-0.187246348,0.048932781,-0.187246348,0.329639306,0.006925902,-1.28E-05,0.001621198,0.021350319,-0.00586227,0.005168956,0.114625053,0.042020206,0.114625053,0.293576685,-0.198527539,0.042020206,-0.198527539,0.313936004,0.006960268,0.001275697,0.001590027,0.02117964,-0.006251737,-0.007430456,0.082146625,0.024893415,0.082146625,0.26565404,-0.21873719,0.024893415,-0.21873719,0.282517291,0.007014607,0.013617424,0.002559555,0.021090878,-0.006952113,0.953,0.966,0.968,0.966,0.706,0.962,0.968,0.962,0.667,0.799,0.947,0.269,0.866,0.939,0.972,0.989,0.993,0.989,0.844,0.978,0.993,0.978,0.826,0.856,0.975,0.311,0.914,0.964,0.947,0.943,0.963
33,200,0.24,1,1.021386852,-0.399942915,0.221340566,0.005901624,0.032145949,-0.049067629,0.032145949,0.209359365,-0.108612394,-0.049067629,-0.108612394,0.209418163,0.003904312,0.006297328,0.007562805,0.012056526,-0.002506816,-0.000394571,0.015646533,-0.057719519,0.015646533,0.198292173,-0.119111598,-0.057719519,-0.119111598,0.197922477,0.003919611,0.007530658,0.007426983,0.012192515,-0.002733311,-0.012746584,-0.007817919,-0.069251423,-0.007817919,0.177575656,-0.136964017,-0.069251423,-0.136964017,0.175190384,0.003885771,0.025780966,0.006180246,0.01322026,-0.003361102,0.958163265,0.954081633,0.978571429,0.954081633,0.78877551,0.964285714,0.978571429,0.964285714,0.770408163,0.733673469,0.955102041,0.182653061,0.77244898,0.944897959,0.978571429,0.983673469,0.989795918,0.983673469,0.901020408,0.983673469,0.989795918,0.983673469,0.883673469,0.796938776,0.978571429,0.205102041,0.848979592,0.974489796,0.96122449,0.948979592,0.956122449
65,200,0.24,1,1.021388275,-0.400164533,0.221383328,0.009488124,0.174658963,0.039026123,0.174658963,0.156869196,-0.059243559,0.039026123,-0.059243559,0.159921168,0.002224942,-0.002824033,-0.001523691,0.00304935,-0.000558024,0.002796232,0.158922261,0.034349198,0.158922261,0.14737759,-0.069365875,0.034349198,-0.069365875,0.150235677,0.00224412,-0.001907177,-0.001580018,0.003244531,-0.000647306,-0.011284164,0.132925981,0.033506258,0.132925981,0.12937075,-0.089087679,0.033506258,-0.089087679,0.129935709,0.0022052,0.018262973,-0.001274831,0.004615346,-0.0013307,0.953,0.961,0.968,0.961,0.808,0.963,0.968,0.963,0.805,0.62,0.952,0.143,0.652,0.961,0.975,0.984,0.983,0.984,0.908,0.977,0.983,0.977,0.9,0.67,0.973,0.157,0.721,0.979,0.95,0.948,0.956
17,500,0.24,1,1.021316518,-0.400083003,0.221463728,0.005532311,0.042930538,-0.048876746,0.042930538,0.144845937,-0.109607799,-0.048876746,-0.109607799,0.153766188,0.003865364,0.003140437,0.003874415,0.014354693,-0.003893081,0.002725363,0.038282571,-0.051661915,0.038282571,0.139069725,-0.114081266,-0.051661915,-0.114081266,0.147502569,0.003837809,0.002924622,0.003899513,0.014255356,-0.004066736,-0.002459259,0.03812317,-0.055173837,0.03812317,0.12791391,-0.123569914,-0.055173837,-0.123569914,0.135374174,0.003613751,-0.002300555,0.003693347,0.013976692,-0.004200428,0.932,0.956,0.97,0.956,0.825,0.948,0.97,0.948,0.808,0.808,0.931,0.261,0.853,0.955,0.961,0.98,0.984,0.98,0.901,0.975,0.984,0.975,0.903,0.874,0.961,0.296,0.891,0.981,0.951,0.93,0.943
33,500,0.24,1,1.021386852,-0.399942915,0.221340566,0.006290666,0.006518711,-0.003785192,0.006518711,0.090336815,-0.055880752,-0.003785192,-0.055880752,0.09106451,0.001362027,0.002124091,0.002424581,0.005870172,-0.001204302,0.0036431,0.003403639,-0.004389778,0.003403639,0.08629887,-0.060213109,-0.004389778,-0.060213109,0.086662656,0.001357806,0.001889727,0.002472806,0.005811221,-0.001300036,-0.001021201,0.007715186,0.006383664,0.007715186,0.078827143,-0.069774566,0.006383664,-0.069774566,0.078567102,0.001382031,-0.000429532,0.004089679,0.006215106,-0.001298241,0.941,0.948,0.962,0.948,0.875,0.951,0.962,0.951,0.881,0.764,0.943,0.202,0.778,0.959,0.969,0.976,0.986,0.976,0.931,0.972,0.986,0.972,0.94,0.809,0.972,0.232,0.838,0.979,0.953,0.943,0.96
65,500,0.24,1,1.021388275,-0.400164533,0.221383328,0.002948217,0.057232946,0.025213296,0.057232946,0.064895666,-0.023479628,0.025213296,-0.023479628,0.069134954,0.000726079,0.000453966,0.000673234,0.002067424,-0.000291803,0.000338329,0.054479871,0.025271491,0.054479871,0.061521872,-0.027717433,0.025271491,-0.027717433,0.065566764,0.000715808,0.00025252,0.000709812,0.001964335,-0.000325306,-0.004347536,0.061884473,0.043315418,0.061884473,0.055849206,-0.037359231,0.043315418,-0.037359231,0.059300038,0.000652601,0.000579373,0.001329904,0.001776417,-8.97E-05,0.956,0.961,0.952,0.961,0.896,0.956,0.952,0.956,0.867,0.62,0.956,0.16,0.679,0.952,0.978,0.983,0.981,0.983,0.946,0.976,0.981,0.976,0.94,0.679,0.974,0.177,0.736,0.973,0.953,0.954,0.957
17,1000,0.24,1,1.021316518,-0.400083003,0.221463728,0.003172678,0.037230343,-0.023838572,0.037230343,0.07787989,-0.075234473,-0.023838572,-0.075234473,0.080458137,0.002095456,0.0015615,0.000944641,0.008058077,-0.002564451,0.001784485,0.036674275,-0.023234355,0.036674275,0.075342282,-0.077583152,-0.023234355,-0.077583152,0.077819884,0.002115692,0.001152084,0.000996007,0.007986768,-0.002655118,-0.002196677,0.033038869,-0.02052975,0.033038869,0.070228042,-0.082384437,-0.02052975,-0.082384437,0.072639082,0.002271109,-0.000833601,0.001436843,0.007220184,-0.002630675,0.945,0.962,0.96,0.962,0.879,0.937,0.96,0.937,0.891,0.812,0.962,0.263,0.85,0.953,0.971,0.981,0.979,0.981,0.945,0.961,0.979,0.961,0.949,0.864,0.984,0.31,0.899,0.975,0.943,0.962,0.947
