t,n,phi,convergence,true.R,true.beta,true.mu,true.phi,"bias.mean Cov[1,1]","bias.mean Cov[2,1]","bias.mean Cov[3,1]","bias.mean Cov[1,2]","bias.mean Cov[2,2]","bias.mean Cov[3,2]","bias.mean Cov[1,3]","bias.mean Cov[2,3]","bias.mean Cov[3,3]",bias.mean R,bias.mean mu.D,bias.mean beta1,bias.mean beta2,bias.mean beta,bias.mean mu.M,bias.mean phi,bias.mean r1,bias.mean r2,bias.mean sigma2,"bias.median Cov[1,1]","bias.median Cov[2,1]","bias.median Cov[3,1]","bias.median Cov[1,2]","bias.median Cov[2,2]","bias.median Cov[3,2]","bias.median Cov[1,3]","bias.median Cov[2,3]","bias.median Cov[3,3]",bias.median R,bias.median mu.D,bias.median beta1,bias.median beta2,bias.median beta,bias.median mu.M,bias.median phi,bias.median r1,bias.median r2,bias.median sigma2,"bias.mode Cov[1,1]","bias.mode Cov[2,1]","bias.mode Cov[3,1]","bias.mode Cov[1,2]","bias.mode Cov[2,2]","bias.mode Cov[3,2]","bias.mode Cov[1,3]","bias.mode Cov[2,3]","bias.mode Cov[3,3]",bias.mode R,bias.mode mu.D,bias.mode beta1,bias.mode beta2,bias.mode beta,bias.mode mu.M,bias.mode phi,bias.mode r1,bias.mode r2,bias.mode sigma2,"cover.qbp Cov[1,1]","cover.qbp Cov[2,1]","cover.qbp Cov[3,1]","cover.qbp Cov[1,2]","cover.qbp Cov[2,2]","cover.qbp Cov[3,2]","cover.qbp Cov[1,3]","cover.qbp Cov[2,3]","cover.qbp Cov[3,3]",cover.qbp R,cover.qbp mu.D,cover.qbp beta1,cover.qbp beta2,cover.qbp beta,cover.qbp mu.M,cover.qbp phi,cover.qbp r1,cover.qbp r2,cover.qbp sigma2," cover.hpd Cov[1,1]"," cover.hpd Cov[2,1]"," cover.hpd Cov[3,1]"," cover.hpd Cov[1,2]"," cover.hpd Cov[2,2]"," cover.hpd Cov[3,2]"," cover.hpd Cov[1,3]"," cover.hpd Cov[2,3]"," cover.hpd Cov[3,3]", cover.hpd R, cover.hpd mu.D, cover.hpd beta1, cover.hpd beta2, cover.hpd beta, cover.hpd mu.M, cover.hpd phi, cover.hpd r1, cover.hpd r2, cover.hpd sigma2,ci.R,ci.beta,ci.mu.M,ci.phi
17,100,0.24,1,1.031371213,0.187869415,-0.400116958,0.195210427,0.029367375,0.067673675,0.068746516,0.067673675,0.544671539,-0.226201934,0.068746516,-0.226201934,0.587482779,0.010064791,-0.005001051,0.007106762,-0.004555065,-0.00480553,-0.00396113,0.033621897,-0.001003786,-0.005767885,-0.008822798,0.015543591,0.037447965,0.037436863,0.037447965,0.511809275,-0.247407592,0.037436863,-0.247407592,0.553838938,0.010132609,-0.005748214,0.007655007,-0.004047478,-0.004625033,-0.003755787,0.028905536,-0.000830855,-0.00533995,-0.010019509,-0.006982212,-0.009882738,-0.037786329,-0.009882738,0.453454654,-0.287057914,-0.037786329,-0.287057914,0.492643465,0.010258551,-0.022111571,0.008092711,-0.004587459,-0.004447281,-0.00276141,0.019541026,3.54E-05,-0.001427305,-0.012568475,0.939,0.976,0.978,0.976,0.497,0.987,0.978,0.987,0.454,0.804,0.968,0.971,0.971,0.809,0.268,0.873,0.981,0.977,0.937,0.969,0.995,0.996,0.995,0.778,0.996,0.996,0.996,0.726,0.861,0.986,0.991,0.988,0.867,0.299,0.92,0.99,0.989,0.962,0.957,0.971,0.961,0.975
33,100,0.24,1,1.031413019,0.187674355,-0.400295258,0.195249285,0.016100395,-0.01053443,0.059513875,-0.01053443,0.393779254,-0.145102562,0.059513875,-0.145102562,0.402144824,0.003933254,-0.011976967,-0.001405129,-0.00730543,-0.008219424,-0.010946384,0.026331794,-0.002108453,-0.000425767,-0.003927903,0.00250079,-0.031876719,0.028136438,-0.031876719,0.368488515,-0.164751515,0.028136438,-0.164751515,0.377362088,0.004002678,-0.012431857,-0.000860347,-0.007071211,-0.008163749,-0.010681514,0.021945287,-0.001976106,-0.000403394,-0.004532706,-0.01966556,-0.058764514,-0.03603301,-0.058764514,0.324141036,-0.198830333,-0.03603301,-0.198830333,0.333841183,0.00449993,-0.022789893,0.00034851,-0.009163128,-0.007970548,-0.010605624,0.017484785,-0.000684243,0.002716498,-0.004907021,0.95,0.969,0.969,0.969,0.638,0.975,0.969,0.975,0.605,0.729,0.966,0.965,0.973,0.739,0.183,0.792,0.976,0.981,0.946,0.976,0.988,0.987,0.988,0.828,0.991,0.987,0.991,0.821,0.786,0.981,0.986,0.983,0.794,0.209,0.859,0.992,0.991,0.972,0.951,0.955,0.965,0.984
65,100,0.24,1,1.03138865,0.18781429,-0.400220686,0.195200671,0.029948005,0.073703087,0.021299408,0.073703087,0.305161973,-0.077462854,0.021299408,-0.077462854,0.302886538,0.002993719,0.008190603,0.001482886,-0.008538383,-0.003193914,0.007914506,0.013087418,-0.000102126,-0.000837286,0.000542868,0.015732496,0.047665778,-0.008431776,0.047665778,0.284228511,-0.097506953,-0.008431776,-0.097506953,0.283223203,0.003018123,0.007873687,0.001990298,-0.009049604,-0.003170068,0.008166711,0.008851796,-0.000154632,-0.001163031,0.00036037,-0.009915962,-0.018981222,-0.079890204,-0.018981222,0.246556995,-0.135494984,-0.079890204,-0.135494984,0.250747235,0.003199491,0.003415517,0.003471206,-0.013805807,-0.003306293,0.005206309,0.005775121,0.000101299,0.001356179,0.001438511,0.954,0.966,0.978,0.966,0.711,0.969,0.978,0.969,0.706,0.601,0.96,0.969,0.976,0.623,0.122,0.681,0.967,0.964,0.949,0.978,0.985,0.993,0.985,0.878,0.987,0.993,0.987,0.872,0.671,0.979,0.985,0.99,0.681,0.139,0.732,0.99,0.98,0.974,0.951,0.959,0.958,0.958
17,200,0.24,1,1.031371213,0.187869415,-0.400116958,0.195210427,0.013690726,0.050839657,0.007460475,0.050839657,0.313162947,-0.16662499,0.007460475,-0.16662499,0.342519853,0.006707635,-0.001158349,-0.001340622,-0.001623682,-0.005942678,0.000254378,0.025190549,-0.000180611,0.000297514,-0.006733328,0.006668759,0.039965836,0.001743759,0.039965836,0.296828385,-0.178563802,0.001743759,-0.178563802,0.326892754,0.006650285,2.60E-05,-0.000998931,-0.000635212,-0.005894829,0.000408744,0.022679072,-0.000271693,1.24E-05,-0.007383877,-0.008144889,0.026959886,-0.004163055,0.026959886,0.267030014,-0.19952421,-0.004163055,-0.19952421,0.29952441,0.006447624,0.006467606,0.000625818,0.001470043,-0.00586542,0.000789858,0.017680025,-0.000484952,-0.002219196,-0.009716598,0.943,0.968,0.974,0.968,0.686,0.973,0.974,0.973,0.638,0.817,0.95,0.961,0.959,0.824,0.265,0.866,0.965,0.97,0.941,0.971,0.985,0.987,0.985,0.836,0.986,0.987,0.986,0.799,0.878,0.969,0.983,0.985,0.874,0.313,0.918,0.987,0.981,0.962,0.956,0.968,0.945,0.967
33,200,0.24,1,1.031413019,0.187674355,-0.400295258,0.195249285,0.00680529,0.040318439,0.019252749,0.040318439,0.206171721,-0.110656626,0.019252749,-0.110656626,0.213169393,0.00194588,-0.011078633,0.000297733,0.001000524,-0.000716582,-0.009728873,0.016093878,-0.001419017,0.000533918,-0.002865278,3.20E-05,0.030287547,0.010589829,0.030287547,0.194297973,-0.121540282,0.010589829,-0.121540282,0.201632549,0.001949924,-0.010984988,0.000489557,0.001845102,-0.000706777,-0.009663237,0.01374117,-0.001341913,0.000396637,-0.003283495,-0.013757137,0.015535857,-0.006217236,0.015535857,0.170811415,-0.141586795,-0.006217236,-0.141586795,0.179904468,0.001831408,-0.020167015,0.002443527,0.0029441,-0.000645331,-0.01040244,0.009734356,-0.000711636,-0.004254952,-0.005454832,0.955,0.965,0.958,0.965,0.785,0.966,0.958,0.966,0.773,0.734,0.961,0.957,0.963,0.736,0.216,0.774,0.967,0.964,0.956,0.978,0.987,0.977,0.987,0.904,0.982,0.977,0.982,0.9,0.781,0.976,0.978,0.983,0.793,0.247,0.836,0.984,0.984,0.97,0.955,0.952,0.958,0.974
65,200,0.24,1,1.03138865,0.18781429,-0.400220686,0.195200671,0.011912179,0.094494034,-0.004373591,0.094494034,0.157666477,-0.052071731,-0.004373591,-0.052071731,0.163138556,0.002536139,0.004672834,-0.002056853,-0.00554845,-0.003245752,0.005691434,0.007830135,0.001151677,0.001279849,0.00030157,0.005172062,0.079359684,-0.009288261,0.079359684,0.147909181,-0.063218829,-0.009288261,-0.063218829,0.153186085,0.002527457,0.004657451,-0.001955431,-0.005034399,-0.003236343,0.005671945,0.005531656,0.001230465,0.001180907,0.000125744,-0.009062258,0.045450278,-0.000712064,0.045450278,0.128748415,-0.082994374,-0.000712064,-0.082994374,0.13381189,0.002368536,-0.00586132,-0.00017368,-0.005196267,-0.003072113,0.004434351,0.003376699,0.002783537,-0.000533221,-0.00076242,0.954545455,0.955555556,0.95959596,0.955555556,0.831313131,0.953535354,0.95959596,0.953535354,0.811111111,0.613131313,0.960606061,0.954545455,0.960606061,0.61010101,0.137373737,0.67979798,0.955555556,0.971717172,0.948484848,0.974747475,0.978787879,0.985858586,0.978787879,0.928282828,0.978787879,0.985858586,0.978787879,0.905050505,0.670707071,0.981818182,0.97979798,0.981818182,0.661616162,0.15959596,0.74040404,0.982828283,0.985858586,0.973737374,0.936363636,0.952525253,0.957575758,0.965656566
17,500,0.24,1,1.031371213,0.187869415,-0.400116958,0.195210427,0.004715481,-0.008898429,0.008787431,-0.008898429,0.134882959,-0.106525773,0.008787431,-0.106525773,0.165276343,0.003963426,-0.005418775,-0.003943979,0.000856285,-0.004602439,-0.004943905,0.015843621,0.000338361,0.002008275,-0.003879956,0.00210823,-0.01592608,0.012810293,-0.01592608,0.128779468,-0.11088901,0.012810293,-0.11088901,0.158863775,0.003947657,-0.005802006,-0.004099621,0.000429021,-0.004590494,-0.004933774,0.015090648,0.00035399,0.001832392,-0.004047981,-0.003318708,-0.02495939,0.021306367,-0.02495939,0.116553035,-0.118575785,0.021306367,-0.118575785,0.146841114,0.003855638,-0.006022038,-0.004893944,-0.00062203,-0.004392976,-0.00474222,0.013257549,0.000741595,0.001026918,-0.004509213,0.948,0.957,0.97,0.957,0.843,0.941,0.97,0.941,0.782,0.844,0.953,0.95,0.959,0.827,0.253,0.865,0.96,0.964,0.94,0.973,0.976,0.982,0.976,0.932,0.971,0.982,0.971,0.887,0.891,0.981,0.978,0.976,0.876,0.284,0.908,0.987,0.982,0.961,0.956,0.959,0.952,0.976
33,500,0.24,1,1.031413019,0.187674355,-0.400295258,0.195249285,0.004211951,-0.001489696,0.03771006,-0.001489696,0.088994088,-0.063499451,0.03771006,-0.063499451,0.095056007,0.0015561,-0.00289063,-0.001337013,-0.002190683,-0.000703098,-0.002452361,0.010310769,2.58E-05,0.00158027,-0.001168414,0.00175379,-0.006656341,0.038552515,-0.006656341,0.084197137,-0.068374922,0.038552515,-0.068374922,0.090510496,0.001550375,-0.004074183,-0.001435247,-0.002494341,-0.000713549,-0.002591363,0.00932765,-2.48E-05,0.001655415,-0.001279361,-0.002777892,-0.011827526,0.043464963,-0.011827526,0.074935007,-0.078944805,0.043464963,-0.078944805,0.081309099,0.001498158,-0.015191332,-0.001805467,-0.003040362,-0.000874198,-0.003274971,0.00737755,-0.000696042,0.002586111,-0.00221175,0.957,0.953,0.955,0.953,0.886,0.954,0.955,0.954,0.854,0.739,0.947,0.946,0.95,0.714,0.198,0.789,0.964,0.965,0.952,0.977,0.979,0.979,0.979,0.95,0.974,0.979,0.974,0.932,0.786,0.974,0.974,0.973,0.768,0.225,0.836,0.979,0.988,0.977,0.954,0.945,0.948,0.966
65,500,0.24,1,1.03138865,0.18781429,-0.400220686,0.195200671,0.005236275,0.033946326,0.042438004,0.033946326,0.066473222,-0.026542848,0.042438004,-0.026542848,0.068284981,0.001311934,-0.000653311,-0.002133892,-0.005069906,-0.002056019,-0.000145481,0.003998538,0.00073985,0.000485856,-0.000199225,0.002830312,0.027860467,0.04154761,0.027860467,0.062516976,-0.031478023,0.04154761,-0.031478023,0.064722202,0.001309117,-0.002142644,-0.002181201,-0.005329141,-0.002062525,-0.000262355,0.002911721,0.000650936,0.000755949,-0.000283851,-0.001131693,0.021705175,0.043663942,0.021705175,0.054846715,-0.04147103,0.043663942,-0.04147103,0.057348342,0.001166267,-0.015633916,-0.002632512,-0.005462662,-0.002163196,-0.000622222,0.000873333,7.93E-05,0.004462916,-0.001294203,0.954545455,0.965656566,0.960606061,0.965656566,0.892929293,0.943434343,0.960606061,0.943434343,0.884848485,0.595959596,0.953535354,0.942424242,0.951515152,0.596969697,0.152525253,0.644444444,0.952525253,0.962626263,0.957575758,0.977777778,0.983838384,0.983838384,0.983838384,0.949494949,0.967676768,0.983838384,0.967676768,0.942424242,0.671717172,0.966666667,0.96969697,0.976767677,0.660606061,0.167676768,0.721212121,0.972727273,0.983838384,0.97979798,0.95959596,0.948484848,0.946464646,0.962626263
17,1000,0.24,1,1.031371213,0.187869415,-0.400116958,0.195210427,0.001899893,0.020335131,-0.033443809,0.020335131,0.067986178,-0.074687394,-0.033443809,-0.074687394,0.087693217,0.001597297,-0.003888134,-0.001913529,0.002096314,-0.002207099,-0.003522254,0.008031366,-0.00045623,0.00032039,-0.002072351,0.000779059,0.018606373,-0.033477004,0.018606373,0.066014229,-0.075924641,-0.033477004,-0.075924641,0.084444821,0.001628313,-0.00386012,-0.001630691,0.001921562,-0.002163367,-0.003448756,0.007572443,-0.000391326,0.000387904,-0.002203364,-0.001090918,0.014353967,-0.036441493,0.014353967,0.062384243,-0.078608949,-0.036441493,-0.078608949,0.078540828,0.001840228,-0.00869644,-0.001096418,0.001598598,-0.001977422,-0.002737667,0.006360368,-9.44E-05,-0.000308758,-0.002356896,0.965,0.953,0.958,0.953,0.91,0.943,0.958,0.943,0.867,0.847,0.949,0.948,0.959,0.814,0.259,0.838,0.968,0.954,0.942,0.98,0.978,0.985,0.978,0.958,0.968,0.985,0.968,0.937,0.913,0.977,0.974,0.983,0.86,0.304,0.884,0.986,0.974,0.973,0.97,0.951,0.952,0.952
