t,n,phi,pmiss,convergence,"bias.mean Cov[1,1]","bias.mean Cov[2,1]","bias.mean Cov[3,1]","bias.mean Cov[1,2]","bias.mean Cov[2,2]","bias.mean Cov[3,2]","bias.mean Cov[1,3]","bias.mean Cov[2,3]","bias.mean Cov[3,3]",bias.mean R,bias.mean mu.D,bias.mean beta,bias.mean mu.M,bias.mean phi,bias.mean sigma2,"bias.median Cov[1,1]","bias.median Cov[2,1]","bias.median Cov[3,1]","bias.median Cov[1,2]","bias.median Cov[2,2]","bias.median Cov[3,2]","bias.median Cov[1,3]","bias.median Cov[2,3]","bias.median Cov[3,3]",bias.median R,bias.median mu.D,bias.median beta,bias.median mu.M,bias.median phi,bias.median sigma2,"bias.mode Cov[1,1]","bias.mode Cov[2,1]","bias.mode Cov[3,1]","bias.mode Cov[1,2]","bias.mode Cov[2,2]","bias.mode Cov[3,2]","bias.mode Cov[1,3]","bias.mode Cov[2,3]","bias.mode Cov[3,3]",bias.mode R,bias.mode mu.D,bias.mode beta,bias.mode mu.M,bias.mode phi,bias.mode sigma2,"cover.qbp Cov[1,1]","cover.qbp Cov[2,1]","cover.qbp Cov[3,1]","cover.qbp Cov[1,2]","cover.qbp Cov[2,2]","cover.qbp Cov[3,2]","cover.qbp Cov[1,3]","cover.qbp Cov[2,3]","cover.qbp Cov[3,3]",cover.qbp R,cover.qbp mu.D,cover.qbp beta,cover.qbp mu.M,cover.qbp phi,cover.qbp sigma2,"cover.hpd Cov[1,1]","cover.hpd Cov[2,1]","cover.hpd Cov[3,1]","cover.hpd Cov[1,2]","cover.hpd Cov[2,2]","cover.hpd Cov[3,2]","cover.hpd Cov[1,3]","cover.hpd Cov[2,3]","cover.hpd Cov[3,3]",Êcover.hpd R,Êcover.hpd mu.D,Êcover.hpd beta,Êcover.hpd mu.M,Êcover.hpd phi,cover.hpd sigma2,ci.R,ci.beta,ci.mu.M,ci.phi,"rmse.mean Cov[1,1]","rmse.mean Cov[2,1]","rmse.mean Cov[3,1]","rmse.mean Cov[1,2]","rmse.mean Cov[2,2]","rmse.mean Cov[3,2]","rmse.mean Cov[1,3]","rmse.mean Cov[2,3]","rmse.mean Cov[3,3]",rmse.mean R,rmse.mean mu.D,rmse.mean effect,rmse.mean mu,rmse.mean phi,rmse.mean sigma2,"rmse.median Cov[1,1]","rmse.median Cov[2,1]","rmse.median Cov[3,1]","rmse.median Cov[1,2]","rmse.median Cov[2,2]","rmse.median Cov[3,2]","rmse.median Cov[1,3]","rmse.median Cov[2,3]","rmse.median Cov[3,3]",rmse.median R,rmse.median mu.D,rmse.median effect,rmse.median mu,rmse.median phi,rmse.median sigma2,"rmse.mode Cov[1,1]","rmse.mode Cov[2,1]","rmse.mode Cov[3,1]","rmse.mode Cov[1,2]","rmse.mode Cov[2,2]","rmse.mode Cov[3,2]","rmse.mode Cov[1,3]","rmse.mode Cov[2,3]","rmse.mode Cov[3,3]",rmse.mode R,rmse.mode mu.D,rmse.mode effect,rmse.mode mu.M,rmse.mode phi,rmse.mode sigma2
17,100,1.570796327,0.1,1,0.017114399,2.761485066,-1.152295669,2.761485066,2.13321662,-1.602056088,-1.152295669,-1.602056088,-0.060755797,0.009827932,-0.01093177,-0.051625106,-0.011340441,-0.003669304,-0.012585422,0.003265253,2.677302827,-1.151599066,2.677302827,2.066433027,-1.584414087,-1.151599066,-1.584414087,-0.083321204,0.009851872,-0.01032656,-0.051485008,-0.011293184,-0.003668815,-0.013671375,-0.022109072,2.524333525,-1.149097838,2.524333525,1.946450334,-1.553347513,-1.149097838,-1.553347513,-0.124023346,0.009857434,-0.012019936,-0.050920392,-0.011459244,-0.00368252,-0.015605868,0.946590909,0.884090909,0.748863636,0.884090909,0,0.107954545,0.748863636,0.107954545,0.997727273,0.870454545,0.944318182,0.896590909,0.346590909,0.875,0.932954545,0.975,0.948863636,0.840909091,0.948863636,0,0.234090909,0.840909091,0.234090909,0.997727273,0.921590909,0.973863636,0.943181818,0.4,0.915909091,0.961363636,0.969318182,0.976136364,0.939772727,0.975,0.116863199,0.043006565,0.053207316,0.043006565,0.065754446,0.032988436,0.053207316,0.032988436,0.009234416,0.031500299,0.090857818,0.029547077,0.090849521,0.036149165,0.017296109,0.114631179,0.041974322,0.052905891,0.041974322,0.063752736,0.032599836,0.052905891,0.032599836,0.009931827,0.031493473,0.090889005,0.029546939,0.09084985,0.036163529,0.017426978,0.113979189,0.040270826,0.05249054,0.040270826,0.06018385,0.031934937,0.05249054,0.031934937,0.011640854,0.031502046,0.091611659,0.029710361,0.09090667,0.036467117,0.017794861
33,100,1.570796327,0.1,1,0.016812415,2.851646906,-1.196601865,2.851646906,1.906762825,-1.687689111,-1.196601865,-1.687689111,-0.220920609,0.004439004,-0.007918203,-0.036198643,-0.007325547,-0.002113546,-0.004864915,0.003361335,2.772533989,-1.19080291,2.772533989,1.85472939,-1.671540921,-1.19080291,-1.671540921,-0.236264295,0.004439423,-0.008077341,-0.036095597,-0.007133202,-0.002128039,-0.005464966,-0.022257215,2.639936883,-1.177666078,2.639936883,1.763799039,-1.644937711,-1.177666078,-1.644937711,-0.263835564,0.004402586,-0.01407957,-0.035905638,-0.006727742,-0.002165024,-0.005538833,0.944444444,0.854545455,0.567676768,0.854545455,0,0.003030303,0.567676768,0.003030303,0.805050505,0.834343434,0.948484848,0.823232323,0.260606061,0.771717172,0.938383838,0.971717172,0.932323232,0.707070707,0.932323232,0,0.012121212,0.707070707,0.012121212,0.866666667,0.896969697,0.974747475,0.870707071,0.298989899,0.831313131,0.965656566,0.981818182,0.970707071,0.948484848,0.963636364,0.115362834,0.040572808,0.052589102,0.040572808,0.058763522,0.034371611,0.052589102,0.034371611,0.016756596,0.024196296,0.08944304,0.025012525,0.089417527,0.032764356,0.011795,0.113181473,0.039611847,0.052182936,0.039611847,0.057198882,0.034028279,0.052182936,0.034028279,0.017714125,0.024194641,0.089450495,0.025013892,0.089411912,0.032777396,0.011836592,0.111818589,0.037885702,0.05137435,0.037885702,0.05450564,0.033465769,0.05137435,0.033465769,0.019497152,0.024306642,0.090103315,0.02511111,0.089419911,0.032887977,0.011864704
65,100,1.570796327,0.1,1,0.017554557,2.957549495,-1.21128246,2.957549495,1.810112772,-1.724318962,-1.21128246,-1.724318962,-0.315809371,0.002072661,-0.00733036,-0.019199144,-0.007305163,-0.002086183,-0.001684409,0.003777069,2.874757965,-1.204973359,2.874757965,1.765948708,-1.707511472,-1.204973359,-1.707511472,-0.327031333,0.002089741,-0.007824599,-0.019171878,-0.007171112,-0.002091962,-0.001892583,-0.025991957,2.710161972,-1.190498859,2.710161972,1.687060207,-1.675221787,-1.190498859,-1.675221787,-0.346431595,0.002086857,-0.013402987,-0.019208751,-0.006907137,-0.002150396,-0.000877783,0.946464646,0.819191919,0.437373737,0.819191919,0,0.001010101,0.437373737,0.001010101,0.294949495,0.742424242,0.948484848,0.748484848,0.197979798,0.66969697,0.943434343,0.972727273,0.907070707,0.577777778,0.907070707,0,0.001010101,0.577777778,0.001010101,0.373737374,0.793939394,0.972727273,0.812121212,0.221212121,0.728282828,0.968686869,0.963636364,0.970707071,0.943434343,0.960606061,0.115062766,0.040453122,0.052056157,0.040453122,0.055743706,0.03498966,0.052056157,0.03498966,0.022787369,0.021684124,0.088112808,0.021106724,0.088117266,0.029667876,0.008198761,0.112764055,0.039483571,0.051678498,0.039483571,0.054413259,0.034638483,0.051678498,0.034638483,0.023531987,0.021682327,0.088101603,0.021101969,0.088117747,0.029671403,0.00820583,0.111431114,0.037609856,0.050944471,0.037609856,0.052060356,0.033967408,0.050944471,0.033967408,0.024843919,0.021708516,0.088212351,0.021093856,0.088103169,0.029758366,0.008180746
17,200,1.570796327,0.1,1,0.015848942,2.835926515,-1.195000806,2.835926515,1.749987763,-1.644898518,-1.195000806,-1.644898518,-0.259801084,0.007016263,-0.004607044,-0.056755073,-0.004046595,-0.004524607,-0.009350968,0.00887177,2.792539495,-1.19468863,2.792539495,1.718955721,-1.635665326,-1.19468863,-1.635665326,-0.269658497,0.006997507,-0.004275899,-0.056569709,-0.004012947,-0.004550419,-0.009942514,-0.004268217,2.703943358,-1.194119664,2.703943358,1.659490462,-1.617958912,-1.194119664,-1.617958912,-0.28807628,0.007027553,-0.003585994,-0.056246925,-0.003913967,-0.004633977,-0.011330667,0.949,0.791,0.373,0.791,0,0.003,0.373,0.003,0.552,0.868,0.962,0.828,0.328,0.843,0.931,0.975,0.885,0.496,0.885,0,0.006,0.496,0.006,0.636,0.912,0.98,0.887,0.375,0.89,0.962,0.957,0.953,0.96,0.956,0.083795271,0.035860392,0.051288168,0.035860392,0.053665,0.033474396,0.051288168,0.033474396,0.019178683,0.021889983,0.062355387,0.02336228,0.062351009,0.026701431,0.012587463,0.082631961,0.035381636,0.051215635,0.035381636,0.052738373,0.033279473,0.051215635,0.033279473,0.019819493,0.021883009,0.062356491,0.02334952,0.062352414,0.026717308,0.012667653,0.081980716,0.034575927,0.051164226,0.034575927,0.050981061,0.032916616,0.051164226,0.032916616,0.021041071,0.021927837,0.062680827,0.023402088,0.062386753,0.026860523,0.012952603
33,200,1.570796327,0.1,1,0.01647945,2.9005813,-1.223474474,2.9005813,1.623919068,-1.722770529,-1.223474474,-1.722770529,-0.376027531,0.003841993,-0.006178357,-0.035173501,-0.004959755,-0.002707083,-0.003732117,0.009504655,2.861613081,-1.221876554,2.861613081,1.599702291,-1.713796884,-1.221876554,-1.713796884,-0.382587084,0.00379672,-0.006336212,-0.035069136,-0.004855646,-0.002711344,-0.004146691,-0.00417558,2.791788793,-1.21923862,2.791788793,1.550871654,-1.698407699,-1.21923862,-1.698407699,-0.394963401,0.003705497,-0.009516503,-0.034719123,-0.004536249,-0.002699274,-0.005842549,0.943877551,0.713265306,0.16122449,0.713265306,0,0,0.16122449,0,0.026530612,0.808163265,0.957142857,0.810204082,0.253061224,0.741836735,0.95,0.974489796,0.813265306,0.255102041,0.813265306,0,0,0.255102041,0,0.043877551,0.883673469,0.978571429,0.856122449,0.284693878,0.809183673,0.975510204,0.962244898,0.945918367,0.956122449,0.958163265,0.081368024,0.035398993,0.051170745,0.035398993,0.049710174,0.03479217,0.051170745,0.03479217,0.026731879,0.017529743,0.061760259,0.018390288,0.061747607,0.023296381,0.0081996,0.080151411,0.034970798,0.051067735,0.034970798,0.048983236,0.034607289,0.051067735,0.034607289,0.027178411,0.017518531,0.061765648,0.018380006,0.061744503,0.023303857,0.008233505,0.079027998,0.034264494,0.050932407,0.034264494,0.047525987,0.034295923,0.050932407,0.034295923,0.028027641,0.017480338,0.062052235,0.018340653,0.061763272,0.023391408,0.00846299
65,200,1.570796327,0.1,1,0.016797916,2.896180109,-1.244512446,2.896180109,1.573590716,-1.764520304,-1.244512446,-1.764520304,-0.436589981,0.002129815,-0.004655051,-0.024124959,-0.003674807,-0.001908631,-0.00145002,0.009784409,2.855651363,-1.242749389,2.855651363,1.552435681,-1.755550866,-1.242749389,-1.755550866,-0.441799155,0.002164233,-0.005012394,-0.024076673,-0.003619896,-0.001891399,-0.001661687,-0.004925549,2.773758307,-1.239576359,2.773758307,1.511326783,-1.738910741,-1.239576359,-1.738910741,-0.452066883,0.002264039,-0.009295747,-0.023977229,-0.003547632,-0.001874113,-0.002520204,0.95257732,0.672164948,0.065979381,0.672164948,0,0,0.065979381,0,0,0.750515464,0.95257732,0.731958763,0.194845361,0.630927835,0.951546392,0.980412371,0.790721649,0.115463918,0.790721649,0,0,0.115463918,0,0.001030928,0.808247423,0.978350515,0.796907216,0.215463918,0.688659794,0.971134021,0.954639175,0.950515464,0.951546392,0.970103093,0.08018454,0.034555711,0.051592725,0.034555711,0.048080057,0.035523904,0.051592725,0.035523904,0.03081662,0.015011982,0.061479066,0.01541129,0.061467824,0.021312511,0.005677477,0.078947798,0.034122482,0.051491519,0.034122482,0.047444653,0.035340702,0.051491519,0.035340702,0.031174399,0.01501541,0.06149395,0.0154081,0.061468613,0.021314825,0.005686678,0.077723693,0.033351444,0.051361435,0.033351444,0.046214864,0.03500255,0.051361435,0.03500255,0.031884712,0.015058158,0.062050297,0.015468653,0.061480467,0.02139784,0.005727232
17,500,1.570796327,0.1,1,0.000921729,2.772425801,-1.218510849,2.772425801,1.498161147,-1.701369104,-1.218510849,-1.701369104,-0.410799113,0.00432053,-0.003620373,-0.053195851,-0.002743226,-0.003350798,-0.006834229,-0.001539991,2.758382474,-1.21855638,2.758382474,1.48645726,-1.698078044,-1.21855638,-1.698078044,-0.414479321,0.004327529,-0.003895673,-0.053270136,-0.002752255,-0.003366772,-0.007024788,-0.005411525,2.736042521,-1.217760042,2.736042521,1.464543014,-1.691095456,-1.217760042,-1.691095456,-0.421596926,0.004380197,-0.005298719,-0.053397471,-0.002779602,-0.003427434,-0.007470897,0.956565657,0.523232323,0.017171717,0.523232323,0,0,0.017171717,0,0,0.871717172,0.956565657,0.771717172,0.294949495,0.826262626,0.93030303,0.978787879,0.627272727,0.039393939,0.627272727,0,0,0.039393939,0,0.001010101,0.913131313,0.977777778,0.842424242,0.339393939,0.874747475,0.955555556,0.960606061,0.894949495,0.955555556,0.947474747,0.049523974,0.031045811,0.050160465,0.031045811,0.045555108,0.034259461,0.050160465,0.034259461,0.029052543,0.013735257,0.039848408,0.016819752,0.039809363,0.017442329,0.008063973,0.049407448,0.030893824,0.050150338,0.030893824,0.045206122,0.034191911,0.050150338,0.034191911,0.029305876,0.013739301,0.039850961,0.016831247,0.0398107,0.01744871,0.008095243,0.049734121,0.030652477,0.050127489,0.030652477,0.044563792,0.034051912,0.050127489,0.034051912,0.029797781,0.013814051,0.040016471,0.01686294,0.039828882,0.017554648,0.008259267
33,500,1.570796327,0.1,1,0.002041611,2.810440213,-1.223811548,2.810440213,1.443004689,-1.749314789,-1.223811548,-1.749314789,-0.481438162,0.002674148,-0.005296052,-0.039544337,-0.003765891,-0.002805597,-0.002254269,-0.000326342,2.797898687,-1.22380451,2.797898687,1.433524389,-1.745886453,-1.22380451,-1.745886453,-0.483978834,0.002685701,-0.005820334,-0.039620184,-0.003799385,-0.002812033,-0.002402187,-0.004870082,2.783515831,-1.224390181,2.783515831,1.416775222,-1.73978736,-1.224390181,-1.73978736,-0.489189886,0.002740849,-0.008938853,-0.039944134,-0.003888621,-0.002827436,-0.00331477,0.957,0.404,0,0.404,0,0,0,0,0,0.818,0.949,0.737,0.233,0.712,0.936,0.98,0.522,0.006,0.522,0,0,0.006,0,0,0.882,0.974,0.792,0.272,0.777,0.96,0.96,0.912,0.951,0.947,0.048433173,0.030714156,0.049811721,0.030714156,0.043767093,0.035144878,0.049811721,0.035144878,0.033858066,0.011063441,0.03945514,0.012998671,0.039427398,0.015479065,0.005315554,0.048292998,0.030577936,0.04980468,0.030577936,0.043483464,0.035075111,0.04980468,0.035075111,0.034034251,0.011069567,0.039460694,0.013009159,0.039426209,0.015482232,0.005326259,0.048417471,0.030426213,0.049827064,0.030426213,0.042990773,0.034951206,0.049827064,0.034951206,0.034397004,0.011134829,0.039625774,0.013078979,0.039411568,0.015529211,0.005417973
65,500,1.570796327,0.1,1,0.002372888,2.834615614,-1.232108325,2.834615614,1.41166084,-1.781245676,-1.232108325,-1.781245676,-0.513673557,0.001382725,-0.003906595,-0.027767816,-0.002503568,-0.001989552,-0.001019426,1.61E-05,2.820072747,-1.231781581,2.820072747,1.403298042,-1.777561993,-1.231781581,-1.777561993,-0.515535045,0.001370106,-0.004837573,-0.027796296,-0.002545409,-0.001981963,-0.001115903,-0.004743756,2.798692556,-1.230886682,2.798692556,1.389056349,-1.770491524,-1.230886682,-1.770491524,-0.519104103,0.001351297,-0.011251107,-0.027887676,-0.002637734,-0.001952144,-0.002119652,0.954545455,0.331313131,0,0.331313131,0,0,0,0,0,0.735353535,0.952525253,0.661616162,0.164646465,0.61010101,0.944444444,0.977777778,0.439393939,0,0.439393939,0,0,0,0,0,0.804040404,0.977777778,0.731313131,0.185858586,0.672727273,0.96969697,0.95959596,0.911111111,0.951515152,0.954545455,0.048356553,0.030561285,0.050017341,0.030561285,0.042732228,0.035727136,0.050017341,0.035727136,0.036048702,0.009459659,0.039091357,0.011135585,0.039091029,0.01379973,0.003634718,0.048210062,0.03040925,0.049998026,0.03040925,0.042481472,0.035652816,0.049998026,0.035652816,0.036178122,0.009459062,0.039121608,0.011138454,0.039090176,0.013798126,0.003639057,0.048149779,0.030183654,0.049962572,0.030183654,0.042058396,0.035510863,0.049962572,0.035510863,0.036426968,0.009481239,0.039409222,0.011163714,0.039076285,0.013805318,0.003718166
17,1000,1.570796327,0.1,1,0.000468205,2.802523493,-1.214079599,2.802523493,1.406848529,-1.723956326,-1.214079599,-1.723956326,-0.480113872,0.002554011,-0.002221901,-0.052617197,-0.001924582,-0.002722205,-0.004273346,-0.000864681,2.795433091,-1.213887085,2.795433091,1.401425435,-1.722706777,-1.213887085,-1.722706777,-0.482138888,0.002539003,-0.002478018,-0.052636925,-0.001919047,-0.002722008,-0.00439101,-0.003230754,2.787157983,-1.21539187,2.787157983,1.391075738,-1.720689115,-1.21539187,-1.720689115,-0.485974369,0.002491842,-0.003395932,-0.052579462,-0.001939854,-0.00272321,-0.004798292,0.954,0.208,0,0.208,0,0,0,0,0,0.878,0.957,0.658,0.33,0.813,0.926,0.98,0.32,0,0.32,0,0,0,0,0,0.916,0.979,0.741,0.369,0.865,0.949,0.953,0.813,0.958,0.943,0.036086394,0.029890649,0.049281471,0.029890649,0.042563858,0.034606935,0.049281471,0.034606935,0.033754624,0.009770672,0.027805563,0.01387173,0.027809101,0.012392974,0.005654841,0.036032383,0.029818234,0.049271747,0.029818234,0.042401986,0.034581592,0.049271747,0.034581592,0.03389547,0.009768826,0.027811966,0.013874916,0.027812058,0.012392535,0.005671902,0.036133621,0.029751927,0.049333365,0.029751927,0.04210108,0.034543209,0.049333365,0.034543209,0.034165004,0.009789257,0.028063482,0.01388566,0.027829751,0.012427549,0.005779325
